127.0.0.1 - - [20/Jan/2024:17:44:23 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:45:51 +0530] "GET /ChargingStation/cslogin.jsp HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:46:02 +0530] "POST /ChargingStation/csloginc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:46:02 +0530] "GET /ChargingStation/cslogin.jsp HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:47:06 +0530] "POST /ChargingStation/csloginc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:47:06 +0530] "GET /ChargingStation/csdashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:47:11 +0530] "GET /ChargingStation/updatepower.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:49:38 +0530] "GET /ChargingStation/cslogin.jsp HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:49:49 +0530] "POST /ChargingStation/csloginc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:49:49 +0530] "GET /ChargingStation/csdashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:49:58 +0530] "GET /ChargingStation/updatepower.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:50:05 +0530] "POST /ChargingStation/updateservlet HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:33 +0530] "GET /ChargingStation/updatepower.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:40 +0530] "GET /ChargingStation/cslogin.jsp HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:48 +0530] "POST /ChargingStation/csloginc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:49 +0530] "GET /ChargingStation/csdashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:51 +0530] "GET /ChargingStation/updatepower.jsp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:59 +0530] "POST /ChargingStation/updateservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jan/2024:17:58:59 +0530] "GET /ChargingStation/updatepower.jsp HTTP/1.1" 200 2192
